"filename", "language", "JSON", "XML", "C#", "UnityShader", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\Shop\Computer\PriceScreen\PriceItem.cs", "C#", 0, 0, 54, 0, 1, 16, 71
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\Shop\Computer\PriceScreen\PriceScreen.cs", "C#", 0, 0, 33, 0, 0, 11, 44
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\Shop\Computer\SellItemsScreen.cs", "C#", 0, 0, 38, 0, 0, 12, 50
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\Shop\Computer\ShopItem.cs", "C#", 0, 0, 30, 0, 0, 8, 38
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\TimeSystem\TimeSystem.cs", "C#", 0, 0, 102, 0, 0, 23, 125
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\TimeSystem\UI\TimeShower.cs", "C#", 0, 0, 18, 0, 0, 7, 25
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\Unit\AI\AIContoller.cs", "C#", 0, 0, 265, 0, 3, 75, 343
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\Unit\AI\AISystem.cs", "C#", 0, 0, 171, 0, 0, 46, 217
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\Unit\DeadBody.cs", "C#", 0, 0, 17, 0, 0, 5, 22
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\Unit\Unit.cs", "C#", 0, 0, 26, 0, 0, 7, 33
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\Unit\UnitMovement.cs", "C#", 0, 0, 60, 0, 0, 13, 73
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\Unit\UnitSystem.cs", "C#", 0, 0, 12, 0, 0, 4, 16
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\WinLoseSystem\EndScreen.cs", "C#", 0, 0, 37, 0, 0, 10, 47
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\WinLoseSystem\EndSystem.cs", "C#", 0, 0, 23, 0, 0, 6, 29
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Editor\AgentOverride2dEditor.cs", "C#", 0, 0, 18, 0, 8, 4, 30
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Editor\CollectSources2dEditor.cs", "C#", 0, 0, 74, 0, 0, 9, 83
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Editor\CollectSourcesCache2dEditor.cs", "C#", 0, 0, 35, 0, 0, 6, 41
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Editor\NavMeshAgentAttributePropertyDrawer.cs", "C#", 0, 0, 15, 0, 3, 4, 22
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Editor\NavMeshAreaAttributePropertyDrawer.cs", "C#", 0, 0, 15, 0, 3, 3, 21
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Editor\NavMeshAssetManager.cs", "C#", 0, 0, 267, 0, 12, 56, 335
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Editor\NavMeshComponentsEditor.asmdef", "JSON", 16, 0, 0, 0, 0, 0, 16
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Editor\NavMeshComponentsGUIUtility.cs", "C#", 0, 0, 226, 0, 8, 43, 277
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Editor\NavMeshLinkEditor.cs", "C#", 0, 0, 224, 0, 1, 55, 280
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Editor\NavMeshModifierEditor.cs", "C#", 0, 0, 35, 0, 0, 12, 47
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Editor\NavMeshModifierTilemapEditor.cs", "C#", 0, 0, 167, 0, 4, 28, 199
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Editor\NavMeshModifierVolumeEditor.cs", "C#", 0, 0, 110, 0, 0, 28, 138
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Editor\NavMeshSurfaceEditor.cs", "C#", 0, 0, 350, 0, 9, 70, 429
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Editor\RootSources2dEditor.cs", "C#", 0, 0, 29, 0, 0, 8, 37
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Scripts\AgentOverride2d.cs", "C#", 0, 0, 33, 0, 0, 4, 37
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Scripts\AgentRotate2d.cs", "C#", 0, 0, 13, 0, 0, 3, 16
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Scripts\AgentRotateSmooth2d.cs", "C#", 0, 0, 14, 0, 0, 3, 17
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Scripts\CollectSources2d.cs", "C#", 0, 0, 83, 0, 0, 8, 91
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\NavMeshComponents\Scripts\CollectSourcesCache2d.cs", "C#", 0, 0, 120, 0, 0, 13, 133
